Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Andy Isabella,andy-isabella-1,/cfb/players/andy-isabella-1.html,Massachusetts,Ind,12,102,1698,16.6,13,141.5,11,79,7.2,1,6.6,113,1777,15.7,14,AA,2018
Tylan Wallace,tylan-wallace-1,/cfb/players/tylan-wallace-1.html,Oklahoma State,Big 12,13,86,1491,17.3,12,114.7,1,6,6.0,1,0.5,87,1497,17.2,13,,2018
Antoine Wesley,antoine-wesley-1,/cfb/players/antoine-wesley-1.html,Texas Tech,Big 12,12,88,1410,16.0,9,117.5,1,-2,-2.0,0,-0.2,89,1408,15.8,9,,2018
Preston Williams,preston-williams-4,/cfb/players/preston-williams-4.html,Colorado State,MWC,12,96,1345,14.0,14,112.1,4,13,3.3,0,1.1,100,1358,13.6,14,,2018
John Ursua,john-ursua-1,/cfb/players/john-ursua-1.html,Hawaii,MWC,13,89,1343,15.1,16,103.3,2,4,2.0,1,0.3,91,1347,14.8,17,,2018
KeeSean Johnson,keesean-johnson-1,/cfb/players/keesean-johnson-1.html,Fresno State,MWC,14,95,1340,14.1,8,95.7,4,14,3.5,0,1.0,99,1354,13.7,8,,2018
A.J. Brown,aj-brown-3,/cfb/players/aj-brown-3.html,Ole Miss,SEC,12,85,1320,15.5,6,110.0,0,0,,0,0.0,85,1320,15.5,6,,2018
Hakeem Butler,hakeem-butler-1,/cfb/players/hakeem-butler-1.html,Iowa State,Big 12,13,60,1318,22.0,9,101.4,0,0,,0,0.0,60,1318,22.0,9,,2018
Marquise Brown,marquise-brown-1,/cfb/players/marquise-brown-1.html,Oklahoma,Big 12,14,75,1318,17.6,10,94.1,2,0,0.0,0,0.0,77,1318,17.1,10,,2018
Jerry Jeudy,jerry-jeudy-1,/cfb/players/jerry-jeudy-1.html,Alabama,SEC,15,68,1315,19.3,14,87.7,0,0,,0,0.0,68,1315,19.3,14,AA,2018
Rondale Moore,rondale-moore-1,/cfb/players/rondale-moore-1.html,Purdue,Big Ten,13,114,1258,11.0,12,96.8,21,213,10.1,2,16.4,135,1471,10.9,14,AA,2018
James Proche,james-proche-1,/cfb/players/james-proche-1.html,SMU,American,12,93,1199,12.9,12,99.9,2,17,8.5,0,1.4,95,1216,12.8,12,,2018
Kelvin Harmon,kelvin-harmon-1,/cfb/players/kelvin-harmon-1.html,North Carolina State,ACC,12,81,1186,14.6,7,98.8,0,0,,0,0.0,81,1186,14.6,7,,2018
Dillon Mitchell,dillon-mitchell-1,/cfb/players/dillon-mitchell-1.html,Oregon,Pac-12,13,75,1184,15.8,10,91.1,1,5,5.0,0,0.4,76,1189,15.6,10,,2018
Lil'Jordan Humphrey,liljordan-humphrey-1,/cfb/players/liljordan-humphrey-1.html,Texas,Big 12,14,86,1176,13.7,9,84.0,6,25,4.2,1,1.8,92,1201,13.1,10,,2018
Damonte Coxie,damonte-coxie-1,/cfb/players/damonte-coxie-1.html,Memphis,American,14,72,1174,16.3,7,83.9,0,0,,0,0.0,72,1174,16.3,7,,2018
Tyler Johnson,tyler-johnson-6,/cfb/players/tyler-johnson-6.html,Minnesota,Big Ten,13,78,1169,15.0,12,89.9,0,0,,0,0.0,78,1169,15.0,12,,2018
CeeDee Lamb,ceedee-lamb-1,/cfb/players/ceedee-lamb-1.html,Oklahoma,Big 12,14,65,1158,17.8,11,82.7,0,0,,0,0.0,65,1158,17.8,11,,2018
Scott Miller,scott-miller-3,/cfb/players/scott-miller-3.html,Bowling Green,MAC,11,71,1148,16.2,9,104.4,4,16,4.0,0,1.5,75,1164,15.5,9,,2018
Adrian Hardy,adrian-hardy-1,/cfb/players/adrian-hardy-1.html,Louisiana Tech,CUSA,13,75,1145,15.3,6,88.1,0,0,,0,0.0,75,1145,15.3,6,,2018
Trevon Brown,trevon-brown-1,/cfb/players/trevon-brown-1.html,East Carolina,American,12,74,1123,15.2,9,93.6,1,-2,-2.0,0,-0.2,75,1121,14.9,9,,2018
N'Keal Harry,nkeal-harry-1,/cfb/players/nkeal-harry-1.html,Arizona State,Pac-12,12,73,1088,14.9,9,90.7,7,10,1.4,1,0.8,80,1098,13.7,10,,2018
Travis Fulgham,travis-fulgham-1,/cfb/players/travis-fulgham-1.html,Old Dominion,CUSA,12,63,1083,17.2,9,90.3,0,0,,0,0.0,63,1083,17.2,9,,2018
Greg Dortch,greg-dortch-1,/cfb/players/greg-dortch-1.html,Wake Forest,ACC,12,89,1078,12.1,8,89.8,5,20,4.0,0,1.7,94,1098,11.7,8,,2018
Parris Campbell,parris-campbell-1,/cfb/players/parris-campbell-1.html,Ohio State,Big Ten,14,90,1063,11.8,12,75.9,9,24,2.7,0,1.7,99,1087,11.0,12,,2018
Jalen Reagor,jalen-reagor-1,/cfb/players/jalen-reagor-1.html,Texas Christian,Big 12,13,72,1061,14.7,9,81.6,13,170,13.1,2,13.1,85,1231,14.5,11,,2018
JJ Arcega-Whiteside,jj-arcega-whiteside-1,/cfb/players/jj-arcega-whiteside-1.html,Stanford,Pac-12,12,63,1059,16.8,14,88.3,0,0,,0,0.0,63,1059,16.8,14,,2018
Olamide Zaccheaus,olamide-zaccheaus-1,/cfb/players/olamide-zaccheaus-1.html,Virginia,ACC,13,93,1058,11.4,9,81.4,16,83,5.2,0,6.4,109,1141,10.5,9,,2018
Jakobi Meyers,jakobi-meyers-1,/cfb/players/jakobi-meyers-1.html,North Carolina State,ACC,12,92,1047,11.4,4,87.3,3,-9,-3.0,0,-0.8,95,1038,10.9,4,,2018
Jonathan Duhart,jonathan-duhart-1,/cfb/players/jonathan-duhart-1.html,Old Dominion,CUSA,12,74,1045,14.1,9,87.1,0,0,,0,0.0,74,1045,14.1,9,,2018
Antonio Gandy-Golden,antonio-gandy-golden-1,/cfb/players/antonio-gandy-golden-1.html,Liberty,Ind,11,71,1037,14.6,10,94.3,0,0,,0,0.0,71,1037,14.6,10,,2018
Marquez Stevenson,marquez-stevenson-1,/cfb/players/marquez-stevenson-1.html,Houston,American,13,75,1019,13.6,9,78.4,14,126,9.0,2,9.7,89,1145,12.9,11,,2018
Rico Bussey Jr.,rico-bussey-jr-1,/cfb/players/rico-bussey-jr-1.html,North Texas,CUSA,12,68,1017,15.0,12,84.8,0,0,,0,0.0,68,1017,15.0,12,,2018
Anthony Johnson,anthony-johnson-13,/cfb/players/anthony-johnson-13.html,Buffalo,MAC,13,57,1011,17.7,11,77.8,0,0,,0,0.0,57,1011,17.7,11,,2018
Laviska Shenault Jr.,laviska-shenault-jr-1,/cfb/players/laviska-shenault-jr-1.html,Colorado,Pac-12,9,86,1011,11.8,6,112.3,17,115,6.8,5,12.8,103,1126,10.9,11,,2018
Kirk Merritt,kirk-merritt-1,/cfb/players/kirk-merritt-1.html,Arkansas State,Sun Belt,13,83,1005,12.1,7,77.3,5,31,6.2,0,2.4,88,1036,11.8,7,,2018
Stanley Morgan Jr.,stanley-morgan-jr-1,/cfb/players/stanley-morgan-jr-1.html,Nebraska,Big Ten,12,70,1004,14.3,7,83.7,1,4,4.0,0,0.3,71,1008,14.2,7,,2018
Tyre Brady,tyre-brady-1,/cfb/players/tyre-brady-1.html,Marshall,CUSA,13,71,1002,14.1,9,77.1,1,14,14.0,0,1.1,72,1016,14.1,9,,2018
Justyn Ross,justyn-ross-1,/cfb/players/justyn-ross-1.html,Clemson,ACC,15,46,1000,21.7,9,66.7,0,0,,0,0.0,46,1000,21.7,9,,2018
Darnell Mooney,darnell-mooney-1,/cfb/players/darnell-mooney-1.html,Tulane,American,13,48,993,20.7,8,76.4,1,6,6.0,0,0.5,49,999,20.4,8,,2018
Papi White,papi-white-1,/cfb/players/papi-white-1.html,Ohio,MAC,13,62,987,15.9,9,75.9,3,24,8.0,1,1.8,65,1011,15.6,10,,2018
David Sills,david-sills-1,/cfb/players/david-sills-1.html,West Virginia,Big 12,12,65,986,15.2,15,82.2,0,14,,0,1.2,65,1000,15.4,15,,2018
Collin Johnson,collin-johnson-2,/cfb/players/collin-johnson-2.html,Texas,Big 12,13,68,985,14.5,7,75.8,0,0,,0,0.0,68,985,14.5,7,,2018
Sean Modster,sean-modster-1,/cfb/players/sean-modster-1.html,Boise State,MWC,13,68,978,14.4,8,75.2,0,0,,0,0.0,68,978,14.4,8,,2018
Cedric Byrd,cedric-byrd-1,/cfb/players/cedric-byrd-1.html,Hawaii,MWC,14,79,970,12.3,9,69.3,0,0,,0,0.0,79,970,12.3,9,,2018
Caleb Wilson,caleb-wilson-2,/cfb/players/caleb-wilson-2.html,UCLA,Pac-12,12,60,965,16.1,4,80.4,1,4,4.0,0,0.3,61,969,15.9,4,,2018
Jalen Hurd,jalen-hurd-1,/cfb/players/jalen-hurd-1.html,Baylor,Big 12,12,69,946,13.7,4,78.8,48,209,4.4,3,17.4,117,1155,9.9,7,,2018
Tee Higgins,tee-higgins-1,/cfb/players/tee-higgins-1.html,Clemson,ACC,15,59,936,15.9,12,62.4,0,0,,0,0.0,59,936,15.9,12,,2018
Gary Jennings,gary-jennings-1,/cfb/players/gary-jennings-1.html,West Virginia,Big 12,11,54,917,17.0,13,83.4,0,0,,0,0.0,54,917,17.0,13,,2018
Kalija Lipscomb,kalija-lipscomb-1,/cfb/players/kalija-lipscomb-1.html,Vanderbilt,SEC,13,87,916,10.5,9,70.5,14,75,5.4,1,5.8,101,991,9.8,10,,2018
Jamal Custis,jamal-custis-1,/cfb/players/jamal-custis-1.html,Syracuse,ACC,13,51,906,17.8,6,69.7,1,-5,-5.0,0,-0.4,52,901,17.3,6,,2018
K.J. Osborn,kj-osborn-1,/cfb/players/kj-osborn-1.html,Buffalo,MAC,14,53,892,16.8,7,63.7,5,16,3.2,0,1.1,58,908,15.7,7,,2018
Quez Watkins,quez-watkins-1,/cfb/players/quez-watkins-1.html,Southern Mississippi,CUSA,11,72,889,12.3,9,80.8,4,11,2.8,0,1.0,76,900,11.8,9,,2018
K.J. Hill,kj-hill-1,/cfb/players/kj-hill-1.html,Ohio State,Big Ten,14,70,885,12.6,6,63.2,1,-3,-3.0,0,-0.2,71,882,12.4,6,,2018
Ty Lee,ty-lee-1,/cfb/players/ty-lee-1.html,Middle Tennessee State,CUSA,14,71,883,12.4,7,63.1,4,18,4.5,0,1.3,75,901,12.0,7,,2018
Deebo Samuel,deebo-samuel-1,/cfb/players/deebo-samuel-1.html,South Carolina,SEC,12,62,882,14.2,11,73.5,8,26,3.3,0,2.2,70,908,13.0,11,,2018
Riley Miller,riley-miller-1,/cfb/players/riley-miller-1.html,Ball State,MAC,12,61,878,14.4,7,73.2,0,0,,0,0.0,61,878,14.4,7,,2018
DaMarkus Lodge,damarkus-lodge-1,/cfb/players/damarkus-lodge-1.html,Ole Miss,SEC,11,65,877,13.5,4,79.7,0,0,,0,0.0,65,877,13.5,4,,2018
Damion Willis,damion-willis-1,/cfb/players/damion-willis-1.html,Troy,Sun Belt,11,56,876,15.6,10,79.6,0,0,,0,0.0,56,876,15.6,10,,2018
Isaiah Hodgins,isaiah-hodgins-1,/cfb/players/isaiah-hodgins-1.html,Oregon State,Pac-12,11,59,876,14.8,5,79.6,0,0,,0,0.0,59,876,14.8,5,,2018
Justin Jefferson,justin-jefferson-1,/cfb/players/justin-jefferson-1.html,LSU,SEC,13,54,875,16.2,6,67.3,5,26,5.2,0,2.0,59,901,15.3,6,,2018
McLane Mannix,mclane-mannix-1,/cfb/players/mclane-mannix-1.html,Nevada,MWC,12,50,875,17.5,7,72.9,3,25,8.3,0,2.1,53,900,17.0,7,,2018
Aaron Fuller,aaron-fuller-1,/cfb/players/aaron-fuller-1.html,Washington,Pac-12,14,58,874,15.1,4,62.4,0,0,,0,0.0,58,874,15.1,4,,2018
Jovon Durante,jovon-durante-1,/cfb/players/jovon-durante-1.html,Florida Atlantic,CUSA,12,65,873,13.4,5,72.8,8,39,4.9,0,3.3,73,912,12.5,5,,2018
Miles Boykin,miles-boykin-1,/cfb/players/miles-boykin-1.html,Notre Dame,Ind,13,59,872,14.8,8,67.1,0,0,,0,0.0,59,872,14.8,8,,2018
JoJo Ward,jojo-ward-1,/cfb/players/jojo-ward-1.html,Hawaii,MWC,14,51,865,17.0,9,61.8,0,0,,0,0.0,51,865,17.0,9,,2018
