player,player_id,position,team_name,player_game_count,franchise_id
X'Zauvea Gadlin,77580,T,TULSA,12,320
Chris Paul,77579,G,TULSA,12,320
Alan Ali,60053,C,SMU,12,287
Jake Benzinger,39255,T,WAKE,12,339
Zach Tom,55443,C,WAKE,12,339
Gerard Wheeler,76561,C,TULSA,12,320
Travis Bruffy,42074,T,TEXAS TECH,12,315
Dawson Deaton,60131,C,TEXAS TECH,12,315
Jaylon Thomas,77421,T,SMU,12,287
Justin Herron,46271,T,WAKE,12,339
Hayden Howerton,60052,G,SMU,12,287
Travis Glover,81658,T,GA STATE,12,175
Taaga Tuulima,38661,C,HAWAII,13,180
Ilm Manning,75852,T,HAWAII,13,180
Curtis Blackwell,58521,G,BALL ST,12,117
Pat Bartlett,55191,G,GA STATE,12,175
Malik Sumter,55194,C,GA STATE,12,175
Danny Pinter,47339,T,BALL ST,12,117
Coy McMillon,60106,C,TCU,12,305
Shamarious Gilmore,41823,G,GA STATE,12,175
Hunter Atkinson,36289,T,GA STATE,12,175
Evan Adams,46802,G,SYRACUSE,12,304
Carlos Vettorello,77348,T,SYRACUSE,12,304
Airon Servais,41573,C,SYRACUSE,12,304
Jimmy Morrissey,41626,C,PITTSBURGH,12,268
Sam Cosmi,60114,T,TEXAS,12,311
Derek Kerstetter,60116,T,TEXAS,12,311
Bryce Hargrove,41946,G,PITTSBURGH,12,268
Steve Eipper,25886,C,C MICHIGAN,12,134
Luke Goedeke,77548,T,C MICHIGAN,12,134
Alec Lindstrom,58532,C,BOSTON COL,12,121
Nate Brown,40643,T,NEVADA,12,239
Tyler Vrabel,77343,T,BOSTON COL,12,121
Demytrick Ali'ifua,41289,C,UTAH ST,12,329
Parker Braun,40258,G,TEXAS,12,311
Royce Newman,41746,G,OLE MISS,12,226
J.L. Gaston,41762,T,TROY,12,318
Grant Gibson,57005,C,NC STATE,12,248
Isaac Moore,77495,T,TEMPLE,12,306
Abraham Lucas,60218,T,WASH STATE,12,341
Adam Klein,77395,T,TEMPLE,12,306
Grant Hermanns,40648,T,PURDUE,12,273
Ben Petrula,58533,T,BOSTON COL,12,121
Junior Diaz,26655,C,FAU,12,165
Karter Shaw,81898,G,UTAH ST,12,329
Josh Watson,41677,G,WASH STATE,12,341
D'Ante Smith,41497,T,E CAROLINA,12,156
David Murray,81885,G,UCLA,12,324
Cordel Iwuagwu,46201,G,TCU,12,305
Brandon Walton,41533,T,FAU,12,165
Keith Ismael,41878,C,S DIEGO ST,12,284
Liam Ryan,41618,T,WASH STATE,12,341
Frederick Mauigoa,41388,C,WASH STATE,12,341
Joshua Fedd-Jackson,60812,G,NC STATE,12,248
Bobby Reynolds,39584,C,LA MONROE,12,209
John Phillips,39364,G,BOSTON COL,12,121
Dakota Davis,60104,G,SYRACUSE,12,304
Donell Stanley,46747,C,S CAROLINA,12,289
Jake Brown,28920,T,UCF,12,323
Clayton Walderzak,55063,T,C MICHIGAN,12,134
Marcus Keyes,46187,G,OKLA STATE,12,262
Mike Novitsky,77545,C,BUFFALO,12,126
Nick Weber,59684,G,FAU,12,165
Jordan Johnson,28921,C,UCF,12,323
Garrett Larson,45560,C,BOISE ST,12,120
Will Sherman,59662,T,COLORADO,12,143
Jared Thomas,36609,C,NWESTERN,12,256
Donovan Laie,81553,T,ARIZONA,12,109
Gene Pryor,75851,T,HAWAII,12,180
Beau Morris,24688,T,SMU,11,287
Jordan Reid,60805,T,MICH STATE,12,223
Jake Burton,43915,T,UCLA,12,324
Zach Shackelford,41139,C,TEXAS,12,311
Sean Rhyan,72009,T,UCLA,12,324
Tim Lynott,26025,C,COLORADO,12,143
Harry Crider,59744,G,INDIANA,12,190
Arlington Hambright,60003,T,COLORADO,12,143
Evin Ksiezarczyk,14214,T,BUFFALO,12,126
Bryce Meeker,46205,T,IOWA STATE,12,193
Caleb Jones,59747,T,INDIANA,12,190
Collin Olson,36523,C,IOWA STATE,12,193
Brandon Jones,59812,G,LA MONROE,12,209
Ivory Scott,98699,G,ARK STATE,12,113
Austin Jackson,60816,T,USC,12,326
Alijah Vera-Tucker,57107,G,USC,12,326
Josh Knipfel,59756,G,IOWA STATE,12,193
Julian Good-Jones,36624,T,IOWA STATE,12,193
Luke Doerger,41758,C,TOLEDO,12,316
Cameron Bell,39228,T,TOLEDO,12,316
Sosaia Mose,59947,C,N TEXAS,12,251
Matt Farniok,41585,T,NEBRASKA,12,238
Ben Brown,59869,G,OLE MISS,12,226
Tre'Vour Wallace-Simms,41855,G,MISSOURI,12,229
Trystan Colon,41117,C,MISSOURI,12,229
Kyle Stapley,81761,C,NEW MEXICO,12,241
T.J. Storment,41643,T,COLO STATE,12,144
Barry Wesley,52018,T,COLO STATE,12,144
Daishawn Dixon,37289,G,S DIEGO ST,12,284
Jack Snyder,41119,T,S JOSE ST,12,285
Jarrett Horst,102823,T,ARK STATE,12,113
Jordan Tucker,59936,T,N CAROLINA,12,245
Nik Urban,41887,G,NWESTERN,12,256
Ernesto Ramirez,102825,T,ARK STATE,12,113
Mike Onwenu,27357,G,MICHIGAN,12,222
Joey Claybrook,60141,T,TULANE,12,319
Quinn Oseland,36914,T,S JOSE ST,12,285
Ben Bredeson,27305,G,MICHIGAN,12,222
Trey Carter,54494,G,COAST CAR,12,141
Corey Dublin,60142,G,TULANE,12,319
Brenden Jaimes,59909,T,NEBRASKA,12,238
Ryan Roberts,36149,T,FLORIDA ST,12,167
Jack Driscoll,27064,T,AUBURN,12,115
Troy Kowalski,46352,G,S JOSE ST,12,285
Marquel Harrell,37373,G,AUBURN,12,115
Blake Brandel,46282,T,OREGON ST,12,265
Kody Russey,41726,C,LA TECH,12,208
Cesar Ruiz,59857,C,MICHIGAN,12,222
Luke Juriga,29571,C,W MICHIGAN,12,347
Sam Gerak,59970,G,NWESTERN,12,256
Jaylon Moore,43678,T,W MICHIGAN,12,347
