position,factoid_type,factoid_text,tags
DB,biometric_threshold,"[DB] Insight: DB recruits who were above weight_lbs 190 saw an average elite rate (>=80) of 2.1%, which is 67.8% higher than the position average.",190|above|biometric_threshold|db|elite|ge_80|threshold|weight_lbs
DB,prestige_lift,"[DB] Insight: DB recruits who had flag_all_american_bowl saw an average elite rate (>=80) of 13.5%, which is 984.5% higher than the position average.",db|elite|flag_all_american_bowl|ge_80|has_flag|prestige_lift|threshold
DB,prestige_lift,"[DB] Insight: DB recruits who had flag_all_america_game saw an average elite rate (>=80) of 11.1%, which is 795.1% higher than the position average.",db|elite|flag_all_america_game|ge_80|has_flag|prestige_lift|threshold
DB,prestige_lift,"[DB] Insight: DB recruits who had flag_the_opening saw an average elite rate (>=80) of 7.3%, which is 489.5% higher than the position average.",db|elite|flag_the_opening|ge_80|has_flag|prestige_lift|threshold
DB,prestige_lift,"[DB] Insight: DB recruits who had flag_all_america_game saw an average multi-year starter rate (>=50) of 82.2%, which is 66.7% higher than the position average.",db|flag_all_america_game|ge_50|has_flag|multi-year_starter|prestige_lift|threshold
DB,prestige_lift,"[DB] Insight: DB recruits who had flag_the_opening saw an average multi-year starter rate (>=50) of 78.0%, which is 58.2% higher than the position average.",db|flag_the_opening|ge_50|has_flag|multi-year_starter|prestige_lift|threshold
DB,prestige_lift,"[DB] Insight: DB recruits who had flag_all_america_game saw an average career success score of 62.50, which is 49.7% higher than the position average.",db|flag_all_america_game|has_flag|prestige_lift
DB,prestige_lift,"[DB] Insight: DB recruits who had flag_all_american_bowl saw an average multi-year starter rate (>=50) of 69.2%, which is 40.3% higher than the position average.",db|flag_all_american_bowl|ge_50|has_flag|multi-year_starter|prestige_lift|threshold
DB,prestige_lift,"[DB] Insight: DB recruits who had flag_the_opening saw an average career success score of 56.62, which is 35.6% higher than the position average.",db|flag_the_opening|has_flag|prestige_lift
DB,prestige_lift,"[DB] Insight: DB recruits who had flag_all_american_bowl saw an average career success score of 55.63, which is 33.2% higher than the position average.",db|flag_all_american_bowl|has_flag|prestige_lift
DB,prestige_lift,"[DB] Insight: DB recruits who had flag_all_america_game saw an average contributor rate (>=20) of 95.6%, which is 23.0% higher than the position average.",contributor|db|flag_all_america_game|ge_20|has_flag|prestige_lift|threshold
DB,prestige_lift,"[DB] Insight: DB recruits who had flag_the_opening saw an average contributor rate (>=20) of 90.2%, which is 16.2% higher than the position average.",contributor|db|flag_the_opening|ge_20|has_flag|prestige_lift|threshold
DB,skill_influence,"[DB] Insight: DB recruits who had skill_Recovery Speed ratings of 9 or 10 saw an average elite rate (>=80) of 8.3%, which is 566.3% higher than the position average.",db|elite|ge_80|rating_9_or_10|skill_influence|skill_recovery_speed|threshold
DB,skill_influence,"[DB] Insight: DB recruits who had skill_Length ratings of 9 or 10 saw an average elite rate (>=80) of 4.7%, which is 281.8% higher than the position average.",db|elite|ge_80|rating_9_or_10|skill_influence|skill_length|threshold
DB,skill_influence,"[DB] Insight: DB recruits who had skill_Change of Direction ratings of 9 or 10 saw an average elite rate (>=80) of 3.1%, which is 147.0% higher than the position average.",db|elite|ge_80|rating_9_or_10|skill_change_of_direction|skill_influence|threshold
DB,skill_influence,"[DB] Insight: DB recruits who had skill_Recovery Speed ratings of 9 or 10 saw an average multi-year starter rate (>=50) of 83.5%, which is 69.2% higher than the position average.",db|ge_50|multi-year_starter|rating_9_or_10|skill_influence|skill_recovery_speed|threshold
DB,skill_influence,"[DB] Insight: DB recruits who had skill_Length ratings of 9 or 10 saw an average multi-year starter rate (>=50) of 80.1%, which is 62.4% higher than the position average.",db|ge_50|multi-year_starter|rating_9_or_10|skill_influence|skill_length|threshold
DB,skill_influence,"[DB] Insight: DB recruits who had skill_Recovery Speed ratings of 9 or 10 saw an average career success score of 61.70, which is 47.8% higher than the position average.",db|rating_9_or_10|skill_influence|skill_recovery_speed
DB,skill_influence,"[DB] Insight: DB recruits who had skill_Change of Direction ratings of 9 or 10 saw an average multi-year starter rate (>=50) of 72.9%, which is 47.7% higher than the position average.",db|ge_50|multi-year_starter|rating_9_or_10|skill_change_of_direction|skill_influence|threshold
DB,skill_influence,"[DB] Insight: DB recruits who had skill_Length ratings of 9 or 10 saw an average career success score of 58.36, which is 39.8% higher than the position average.",db|rating_9_or_10|skill_influence|skill_length
DB,skill_influence,"[DB] Insight: DB recruits who had skill_Change of Direction ratings of 9 or 10 saw an average career success score of 53.65, which is 28.5% higher than the position average.",db|rating_9_or_10|skill_change_of_direction|skill_influence
DB,skill_influence,"[DB] Insight: DB recruits who had skill_Recovery Speed ratings of 9 or 10 saw an average contributor rate (>=20) of 98.5%, which is 26.8% higher than the position average.",contributor|db|ge_20|rating_9_or_10|skill_influence|skill_recovery_speed|threshold
DB,skill_influence,"[DB] Insight: DB recruits who had skill_Length ratings of 9 or 10 saw an average contributor rate (>=20) of 95.3%, which is 22.7% higher than the position average.",contributor|db|ge_20|rating_9_or_10|skill_influence|skill_length|threshold
DB,skill_influence,"[DB] Insight: DB recruits who had skill_Change of Direction ratings of 9 or 10 saw an average contributor rate (>=20) of 90.6%, which is 16.6% higher than the position average.",contributor|db|ge_20|rating_9_or_10|skill_change_of_direction|skill_influence|threshold
DB,star_threshold,"[DB] Insight: DB recruits who were 5-star prospects saw an average elite rate (>=80) of 15.5%, which is 1150.1% higher than the position average.",5-star|db|elite|ge_80|star_threshold|threshold
DB,star_threshold,"[DB] Insight: DB recruits who were 4-star prospects saw an average elite rate (>=80) of 2.5%, which is 104.7% higher than the position average.",4-star|db|elite|ge_80|star_threshold|threshold
DB,star_threshold,"[DB] Insight: DB recruits who were 5-star prospects saw an average multi-year starter rate (>=50) of 86.2%, which is 74.8% higher than the position average.",5-star|db|ge_50|multi-year_starter|star_threshold|threshold
DB,star_threshold,"[DB] Insight: DB recruits who were 5-star prospects saw an average career success score of 65.28, which is 56.3% higher than the position average.",5-star|db|star_threshold
DB,star_threshold,"[DB] Insight: DB recruits who were 4-star prospects saw an average multi-year starter rate (>=50) of 66.8%, which is 35.4% higher than the position average.",4-star|db|ge_50|multi-year_starter|star_threshold|threshold
DB,star_threshold,"[DB] Insight: DB recruits who were 5-star prospects saw an average contributor rate (>=20) of 98.3%, which is 26.6% higher than the position average.",5-star|contributor|db|ge_20|star_threshold|threshold
DB,star_threshold,"[DB] Insight: DB recruits who were 4-star prospects saw an average career success score of 51.04, which is 22.2% higher than the position average.",4-star|db|star_threshold
DB,star_threshold,"[DB] Insight: DB recruits who were 3-star prospects saw an average elite rate (>=80) of 0.8%, which is 32.1% lower than the position average.",3-star|db|elite|ge_80|star_threshold|threshold
DB,star_threshold,"[DB] Insight: DB recruits who were 2-star prospects saw an average elite rate (>=80) of 0.2%, which is 85.9% lower than the position average.",2-star|db|elite|ge_80|star_threshold|threshold
DB,state_analysis,"[DB] Insight: DB recruits who were from TX saw an average elite rate (>=80) of 2.4%, which is 90.4% higher than the position average.",db|elite|ge_80|state|state_analysis|threshold|tx
DB,state_analysis,"[DB] Insight: DB recruits who were from AL saw an average elite rate (>=80) of 1.9%, which is 50.1% higher than the position average.",al|db|elite|ge_80|state|state_analysis|threshold
DB,state_analysis,"[DB] Insight: DB recruits who were from LA saw an average elite rate (>=80) of 1.8%, which is 43.9% higher than the position average.",db|elite|ge_80|la|state|state_analysis|threshold
DB,state_analysis,"[DB] Insight: DB recruits who were from GA saw an average elite rate (>=80) of 1.7%, which is 33.6% higher than the position average.",db|elite|ga|ge_80|state|state_analysis|threshold
DB,state_analysis,"[DB] Insight: DB recruits who were from OH saw an average elite rate (>=80) of 1.6%, which is 26.9% higher than the position average.",db|elite|ge_80|oh|state|state_analysis|threshold
DB,state_analysis,"[DB] Insight: DB recruits who were from TN saw an average multi-year starter rate (>=50) of 41.8%, which is 15.2% lower than the position average.",db|ge_50|multi-year_starter|state|state_analysis|threshold|tn
DB,state_analysis,"[DB] Insight: DB recruits who were from CA saw an average elite rate (>=80) of 1.0%, which is 16.9% lower than the position average.",ca|db|elite|ge_80|state|state_analysis|threshold
DB,state_analysis,"[DB] Insight: DB recruits who were from TN saw an average elite rate (>=80) of 1.0%, which is 17.8% lower than the position average.",db|elite|ge_80|state|state_analysis|threshold|tn
DB,state_analysis,"[DB] Insight: DB recruits who were from MI saw an average elite rate (>=80) of 1.0%, which is 18.6% lower than the position average.",db|elite|ge_80|mi|state|state_analysis|threshold
DB,state_analysis,"[DB] Insight: DB recruits who were from MD saw an average elite rate (>=80) of 1.0%, which is 21.8% lower than the position average.",db|elite|ge_80|md|state|state_analysis|threshold
DB,state_analysis,"[DB] Insight: DB recruits who were from NC saw an average elite rate (>=80) of 0.9%, which is 26.1% lower than the position average.",db|elite|ge_80|nc|state|state_analysis|threshold
DB,state_analysis,"[DB] Insight: DB recruits who were from FL saw an average elite rate (>=80) of 0.7%, which is 40.9% lower than the position average.",db|elite|fl|ge_80|state|state_analysis|threshold
DB,state_analysis,"[DB] Insight: DB recruits who were from VA saw an average elite rate (>=80) of 0.0%, which is 100.0% lower than the position average.",db|elite|ge_80|state|state_analysis|threshold|va
EDGE,biometric_threshold,"[EDGE] Insight: EDGE recruits who were above weight_lbs 250 saw an average elite rate (>=80) of 2.6%, which is 25.8% higher than the position average.",250|above|biometric_threshold|edge|elite|ge_80|threshold|weight_lbs
EDGE,biometric_threshold,"[EDGE] Insight: EDGE recruits who were above height_inches 75 saw an average elite rate (>=80) of 2.5%, which is 19.9% higher than the position average.",75|above|biometric_threshold|edge|elite|ge_80|height_inches|threshold
EDGE,biometric_threshold,"[EDGE] Insight: EDGE recruits who were above weight_lbs 250 saw an average career success score of 43.80, which is 19.6% higher than the position average.",250|above|biometric_threshold|edge|weight_lbs
EDGE,biometric_threshold,"[EDGE] Insight: EDGE recruits who were at or below height_inches 75 saw an average elite rate (>=80) of 1.5%, which is 28.2% lower than the position average.",75|at_or_below|biometric_threshold|edge|elite|ge_80|height_inches|threshold
EDGE,skill_influence,"[EDGE] Insight: EDGE recruits who had skill_First Step ratings of 9 or 10 saw an average multi-year starter rate (>=50) of 50.5%, which is 24.5% higher than the position average.",edge|ge_50|multi-year_starter|rating_9_or_10|skill_first_step|skill_influence|threshold
EDGE,skill_influence,"[EDGE] Insight: EDGE recruits who had skill_First Step ratings of 9 or 10 saw an average career success score of 45.05, which is 23.0% higher than the position average.",edge|rating_9_or_10|skill_first_step|skill_influence
EDGE,skill_influence,"[EDGE] Insight: EDGE recruits who had skill_First Step ratings of 9 or 10 saw an average contributor rate (>=20) of 80.2%, which is 16.1% higher than the position average.",contributor|edge|ge_20|rating_9_or_10|skill_first_step|skill_influence|threshold
EDGE,star_threshold,"[EDGE] Insight: EDGE recruits who were 4-star prospects saw an average elite rate (>=80) of 3.1%, which is 53.0% higher than the position average.",4-star|edge|elite|ge_80|star_threshold|threshold
EDGE,star_threshold,"[EDGE] Insight: EDGE recruits who were 4-star prospects saw an average career success score of 46.56, which is 27.1% higher than the position average.",4-star|edge|star_threshold
EDGE,star_threshold,"[EDGE] Insight: EDGE recruits who were 4-star prospects saw an average contributor rate (>=20) of 86.2%, which is 24.8% higher than the position average.",4-star|contributor|edge|ge_20|star_threshold|threshold
EDGE,star_threshold,"[EDGE] Insight: EDGE recruits who were 4-star prospects saw an average multi-year starter rate (>=50) of 49.1%, which is 21.1% higher than the position average.",4-star|edge|ge_50|multi-year_starter|star_threshold|threshold
