rushing_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,rushing_yards,rushing_yards_per_game,comp,rushing_attempts,pct,rushing_touchdowns,int,rate,games_played,year,category
1,Braden,Bratcher,Braden Bratcher,/ar/little-rock/pulaski-academy-bruins/athletes/braden-bratcher/football/stats/?careerid=ocvvfuubohpee,ocvvfuubohpee,QB,Pulaski Academy,AR,5196,5196,399.7,327,483,0.677,51,10,130,13,2019,rushing
2,EJ,Kreutzmann,EJ Kreutzmann,/ca/la-jolla/la-jolla-country-day-torreys/athletes/ej-kreutzmann/football/stats/?careerid=d19k2v4a41rff,d19k2v4a41rff,"QB, DB",La Jolla Country Day,CA,5083,5083,391.0,342,509,0.672,57,10,129,13,2019,rushing
3,Ethan,Garbers,Ethan Garbers,/ca/newport-beach/corona-del-mar-sea-kings/athletes/ethan-garbers/football/stats/?careerid=iiunsqc20n1rb,iiunsqc20n1rb,QB,Corona del Mar,CA,5035,5035,314.7,341,490,0.696,71,6,137,16,2019,rushing
4,Garret,Rangel,Garret Rangel,/tx/frisco/lone-star-rangers/athletes/garret-rangel/football/stats/?careerid=df1m2urpho8qa,df1m2urpho8qa,QB,Lone Star,TX,4855,4855,323.7,279,403,0.692,50,10,139,15,2019,rushing
5,Harrison,Bailey,Harrison Bailey,/ga/marietta/marietta-blue-devils/athletes/harrison-bailey/football/stats/?careerid=s0cpjakjevg00,s0cpjakjevg00,QB,Marietta,GA,4674,4674,292.1,287,411,0.698,50,10,137,16,2019,rushing
6,Jefferson,Boaz,Jefferson Boaz,/nc/pilot-mountain/east-surry-cardinals/athletes/jefferson-boaz/football/stats/?careerid=hkuhe7t0m7sm6,hkuhe7t0m7sm6,"QB, P",East Surry,NC,4599,4599,306.6,231,312,0.74,65,6,147,15,2019,rushing
7,Colby,Fields,Colby Fields,/mo/springfield/lighthouse-christian-chargers/athletes/colby-fields/football/stats/?careerid=gdaa1gcli6gff,gdaa1gcli6gff,"QB, WR",Lighthouse Christian,MO,4541,4541,349.3,303,543,0.558,61,22,104,13,2019,rushing
8,Bryce,Young,Bryce Young,/ca/santa-ana/mater-dei-monarchs/athletes/bryce-young/football/stats/?careerid=qr78a1vt478ff,qr78a1vt478ff,QB,Mater Dei,CA,4528,4528,348.3,294,409,0.719,58,6,142,13,2019,rushing
9,Eddie lee,Marburger,Eddie lee Marburger,/tx/mission/pioneer-diamondbacks/athletes/eddie-lee-marburger/football/stats/?careerid=i21tu396vakcc,i21tu396vakcc,QB,Pioneer,TX,4505,4505,346.5,286,433,0.661,58,5,135,13,2019,rushing
10,Joe,Owens,Joe Owens,/sc/piedmont/wren-hurricanes/athletes/joe-owens/football/stats/?careerid=s2196lk5sjmqa,s2196lk5sjmqa,QB,Wren,SC,4488,4488,299.2,276,469,0.588,62,9,123,15,2019,rushing
11,Tyler,Buchner,Tyler Buchner,/ca/la-jolla/bishops-knights/athletes/tyler-buchner/football/stats/?careerid=54ihlq6k9v5m6,54ihlq6k9v5m6,"QB, FS",Bishop's,CA,4474,4474,344.2,267,402,0.664,53,6,137,13,2019,rushing
12,Zevi,Eckhaus,Zevi Eckhaus,/ca/culver-city/culver-city-centaurs/athletes/zevi-eckhaus/football/stats/?careerid=da6jtkbo9mkdd,da6jtkbo9mkdd,QB,Culver City,CA,4456,4456,342.8,263,371,0.709,59,7,143,13,2019,rushing
13,Gavin,Watts,Gavin Watts,/mo/springfield/glendale-falcons/athletes/gavin-watts/football/stats/?careerid=uvm5gfctus422,uvm5gfctus422,,Glendale,MO,4436,4436,369.7,338,549,0.616,43,20,98,12,2019,rushing
14,Blaine,Huston,Blaine Huston,/oh/kenton/kenton-wildcats/athletes/blaine-huston/football/stats/?careerid=c1gss2un372p9,c1gss2un372p9,QB,Kenton,OH,4424,4424,402.2,286,461,0.62,38,24,100,11,2019,rushing
15,Jared,Heywood,Jared Heywood,/ca/mission-hills/bishop-alemany-warriors/athletes/jared-heywood/football/stats/?careerid=as2hlvtdboc99,as2hlvtdboc99,QB,Inglewood,CA,4417,4417,339.8,171,222,0.77,66,7,145,13,2019,rushing
16,Macloud,Crowton,Macloud Crowton,/tx/nacogdoches/nacogdoches-dragons/athletes/macloud-crowton/football/stats/?careerid=l4tknu53b16bb,l4tknu53b16bb,QB,Pine View,UT,4331,4331,360.9,272,446,0.61,47,17,113,12,2019,rushing
17,Braedyn,Locke,Braedyn Locke,/tx/rockwall/rockwall-yellowjackets/athletes/braedyn-locke/football/stats/?careerid=7tag02ud7uh99,7tag02ud7uh99,QB,Rockwall,TX,4305,4305,287.0,268,455,0.589,52,11,119,15,2019,rushing
