rushing_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,rushing_yards,rushing_yards_per_game,comp,rushing_attempts,pct,rushing_touchdowns,int,rate,games_played,year,category
1,Alex,Huston,Alex Huston,/mo/springfield/glendale-falcons/athletes/alex-huston/football/stats/?careerid=vtcju6cr9mjj3,vtcju6cr9mjj3,QB,Glendale,MO,6131,6131,510.9,395,563,0.702,76,12,137,12,2016,rushing
2,Nick,Gerber,Nick Gerber,/tx/levelland/levelland-lobos/athletes/nick-gerber/football/stats/?careerid=e8hc1k8nj9fk4,e8hc1k8nj9fk4,QB,Levelland,TX,5617,5617,401.2,337,522,0.646,77,8,134,14,2016,rushing
3,Tristan,Gebbia,Tristan Gebbia,/ca/calabasas/calabasas-coyotes/athletes/tristan-gebbia/football/stats/?careerid=7s841uv0l6jff,7s841uv0l6jff,QB,Calabasas,CA,5338,5338,355.9,341,485,0.703,61,11,137,15,2016,rushing
4,Aaron,Brown,Aaron Brown,/tx/gilmer/gilmer-buckeyes/athletes/aaron-brown/football/stats/?careerid=gvk2sjf9v3bcc,gvk2sjf9v3bcc,QB,Gilmer,TX,5013,5013,334.2,352,539,0.653,48,14,114,15,2016,rushing
5,Grant,Gunnell,Grant Gunnell,/tx/houston/st-pius-x-panthers/athletes/grant-gunnell/football/stats/?careerid=fpieu12mdi333,fpieu12mdi333,QB,St. Pius X,TX,4973,4973,414.4,271,387,0.7,65,11,140,12,2016,rushing
6,Jt,Daniels,Jt Daniels,/ca/santa-ana/mater-dei-monarchs/athletes/jt-daniels/football/stats/?careerid=trl8ssdfoon44,trl8ssdfoon44,QB,Mater Dei,CA,4849,4849,346.4,315,423,0.745,67,6,146,14,2016,rushing
7,Tylan,Morton,Tylan Morton,/ga/griffin/griffin-bears/athletes/tylan-morton/football/stats/?careerid=fq576dk31o5k4,fq576dk31o5k4,QB,Griffin,GA,4741,4741,364.7,303,436,0.695,42,13,125,13,2016,rushing
8,Chase,Allison,Chase Allison,/tx/robinson/robinson-rockets/athletes/chase-allison/football/stats/?careerid=7rvs535dk8044,7rvs535dk8044,QB,Robinson,TX,4659,4659,388.2,304,468,0.65,59,7,131,12,2016,rushing
9,Layne,Hatcher,Layne Hatcher,/ar/little-rock/pulaski-academy-bruins/athletes/layne-hatcher/football/stats/?careerid=lnbmfbjuvvpi2,lnbmfbjuvvpi2,QB,Pulaski Academy,AR,4656,4656,332.6,278,430,0.647,58,19,122,14,2016,rushing
10,Brandon,Marquardt,Brandon Marquardt,/ok/norman/norman-north-timberwolves/athletes/brandon-marquardt/football/stats/?careerid=5274rdq030eue,5274rdq030eue,QB,Norman North,OK,4624,4624,355.7,267,386,0.692,48,7,142,13,2016,rushing
11,Holton,Ahlers,Holton Ahlers,/nc/greenville/dh-conley-vikings/athletes/holton-ahlers/football/stats/?careerid=2ge2ukr14fo77,2ge2ukr14fo77,QB,D.H. Conley,NC,4503,4503,375.2,284,460,0.617,51,9,123,12,2016,rushing
12,Jack,Newman,Jack Newman,/ca/sebastopol/west-county-team/athletes/jack-newman/football/stats/?careerid=dca5kbmji13l5,dca5kbmji13l5,QB,Analy,CA,4488,4488,345.2,277,397,0.698,55,5,142,13,2016,rushing
13,Braxton,Burmeister,Braxton Burmeister,/ca/la-jolla/la-jolla-country-day-torreys/athletes/braxton-burmeister/football/stats/?careerid=faecm7bmle3k4,faecm7bmle3k4,QB,La Jolla Country Day,CA,4461,4461,278.8,312,493,0.633,53,8,122,16,2016,rushing
14,Braden,Wingle,Braden Wingle,/ca/bakersfield/bakersfield-christian-eagles/athletes/braden-wingle/football/stats/?careerid=gj2730r9j89j3,gj2730r9j89j3,QB,Bakersfield Christian,CA,4379,4379,291.9,274,418,0.656,44,16,119,15,2016,rushing
15,Michael,Everett,Michael Everett,/tx/odem/odem-owls/athletes/michael-everett/football/stats/?careerid=ikibv26g2cr00,ikibv26g2cr00,"QB, FS",Odem,TX,4362,4362,335.5,331,496,0.667,58,8,127,13,2016,rushing
