rushing_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,rushing_yards,rushing_yards_per_game,comp,rushing_attempts,pct,rushing_touchdowns,int,rate,games_played,year,category
1,Drew,Novak,Drew Novak,/oh/mt-orab/western-brown-broncos/athletes/drew-novak/football/stats/?careerid=asredl6o4g166,asredl6o4g166,QB,Western Brown,OH,5269,5269,376.4,344,512,0.672,56,11,128,14,2021,rushing
2,Charlie,Fiser,Charlie Fiser,/ar/little-rock/pulaski-academy-bruins/athletes/charlie-fiser/football/stats/?careerid=kpvho88lsjorb,kpvho88lsjorb,QB,Pulaski Academy,AR,4988,4988,356.3,331,550,0.602,56,13,114,14,2021,rushing
3,Drew,Gallehue,Drew Gallehue,/oh/edon/edon-bombers/athletes/drew-gallehue/football/stats/?careerid=mguau9v9feh22,mguau9v9feh22,QB,Edon,OH,4977,4977,382.8,325,474,0.686,58,8,136,13,2021,rushing
4,Devin,Brown,Devin Brown,/az/queen-creek/queen-creek-bulldogs/athletes/devin-brown/football/stats/?careerid=brb37rqc5odtd,brb37rqc5odtd,QB,Corner Canyon,UT,4881,4881,348.6,254,372,0.683,57,14,135,14,2021,rushing
5,Richard,Stallworth,Richard Stallworth,/az/yuma/yuma-catholic-shamrocks/athletes/richard-stallworth/football/stats/?careerid=c2bf1n7fp3tqa,c2bf1n7fp3tqa,QB,Yuma Catholic,AZ,4863,4863,347.4,319,479,0.666,67,10,131,14,2021,rushing
6,Aaron,Philo,Aaron Philo,/ga/athens/prince-avenue-christian-wolverines/athletes/aaron-philo/football/stats/?careerid=41vaqekji68cc,41vaqekji68cc,QB,Prince Avenue Christian,GA,4540,4540,324.3,297,408,0.728,47,14,133,14,2021,rushing
7,Drew,Allar,Drew Allar,/oh/medina/medina-battling-bees/athletes/drew-allar/football/stats/?careerid=beo91foqnh499,beo91foqnh499,QB,Medina,OH,4444,4444,317.4,305,509,0.599,48,7,114,14,2021,rushing
8,Christopher,Thomas,Christopher Thomas,/al/selma/southside-panthers/athletes/christopher-thomas/football/stats/?careerid=3i7lf8qc1jso8,3i7lf8qc1jso8,QB,Southside,AL,4402,4402,400.2,190,240,0.792,26,5,148,11,2021,rushing
9,Nicholas,Coronado,Nicholas Coronado,/ca/tracy/kimball-jaguars/athletes/nicholas-coronado/football/stats/?careerid=f0isccldophg0,f0isccldophg0,QB,Kimball,CA,4314,4314,359.5,249,366,0.68,55,5,142,12,2021,rushing
10,Devin,Watson,Devin Watson,/ut/bluffdale/summit-academy-bears/athletes/devin-watson/football/stats/?careerid=jvta0roo5m1td,jvta0roo5m1td,QB,Summit Academy,UT,4289,4289,357.4,292,459,0.636,51,16,117,12,2021,rushing
11,Ryder,Lambert,Ryder Lambert,/tx/stephenville/stephenville-yellow-jackets-honeybees/athletes/ryder-lambert/football/stats/?careerid=v5jo90114ladd,v5jo90114ladd,"QB, ATH",Stephenville,TX,4275,4275,267.2,249,384,0.648,52,8,133,16,2021,rushing
12,Brady,Allen,Brady Allen,/in/fort-branch/gibson-southern-titans/athletes/brady-allen/football/stats/?careerid=01lsgsv0kjkn7,01lsgsv0kjkn7,QB,Gibson Southern,IN,4253,4253,283.5,263,383,0.687,58,6,139,15,2021,rushing
13,Brayten,Silbor,Brayten Silbor,/az/scottsdale/chaparral-firebirds/athletes/brayten-silbor/football/stats/?careerid=tlvlh9g6lb8i2,tlvlh9g6lb8i2,QB,Chaparral,AZ,4159,4159,297.1,280,416,0.673,43,11,123,14,2021,rushing
14,Gunner,Stockton,Gunner Stockton,/ga/tiger/rabun-county-wildcats/athletes/gunner-stockton/football/stats/?careerid=9qdnf6faeebg0,9qdnf6faeebg0,QB,Rabun County,GA,4134,4134,318.0,236,331,0.713,55,1,152,13,2021,rushing
15,Bladen,Fike,Bladen Fike,/ar/fayetteville/fayetteville-bulldogs/athletes/bladen-fike/football/stats/?careerid=itqtu29ug0sn7,itqtu29ug0sn7,QB,Fayetteville,AR,4098,4098,315.2,272,438,0.621,44,12,115,13,2021,rushing
16,Andrew,Martinez,Andrew Martinez,/tx/el-paso/eastwood-troopers/athletes/andrew-martinez/football/stats/?careerid=nqbqh8pmvddrb,nqbqh8pmvddrb,QB,Eastwood,TX,4089,4089,314.5,280,445,0.629,40,15,109,13,2021,rushing
17,Chris,Teten,Chris Teten,/tx/dublin/dublin-lions/athletes/chris-teten/football/stats/?careerid=8hso0lej35n66,8hso0lej35n66,"QB, OLB",Dublin,TX,4066,4066,312.8,262,425,0.616,42,15,112,13,2021,rushing
18,David,Dallas,David Dallas,/ga/sharpsburg/trinity-christian-lions/athletes/david-dallas/football/stats/?careerid=on4ms2hur8sff,on4ms2hur8sff,QB,Trinity Christian,GA,4033,4033,288.1,225,293,0.768,49,4,152,14,2021,rushing
19,Sam,Horn,Sam Horn,/ga/suwanee/collins-hill-eagles/athletes/sam-horn/football/stats/?careerid=cb30724poqfl5,cb30724poqfl5,"QB, P",Collins Hill,GA,3986,3986,265.7,337,480,0.702,37,10,112,15,2021,rushing
20,Logan,Gonzalez,Logan Gonzalez,/ca/orange/orange-lutheran-lancers/athletes/logan-gonzalez/football/stats/?careerid=74gb6rec6fe55,74gb6rec6fe55,QB,Orange Lutheran,CA,3975,3975,265.0,292,461,0.633,47,7,118,15,2021,rushing
21,Tyler,Buescher,Tyler Buescher,/oh/west-jefferson/west-jefferson-roughriders/athletes/tyler-buescher/football/stats/?careerid=dqklcd72krbcc,dqklcd72krbcc,"QB, DB",West Jefferson,OH,3959,3959,263.9,305,435,0.701,38,11,117,15,2021,rushing
22,Brady,Dever,Brady Dever,/tx/sugar-land/fort-bend-christian-academy-eagles/athletes/brady-dever/football/stats/?careerid=mkjf6cpu54el5,mkjf6cpu54el5,QB,Fort Bend Christian Academy,TX,3958,3958,304.5,226,353,0.64,57,5,136,13,2021,rushing
23,John,White,John White,/ms/madison/madison-ridgeland-academy-patriots/athletes/john-white/football/stats/?careerid=dkr6lrsd5dktd,dkr6lrsd5dktd,QB,Madison-Ridgeland Academy,MS,3935,3935,281.1,243,358,0.679,39,14,124,14,2021,rushing
24,Joe,Humphreys,Joe Humphreys,/ky/owensboro/daviess-county-panthers/athletes/joe-humphreys/football/stats/?careerid=t0ts86d4tbgk4,t0ts86d4tbgk4,QB,Daviess County,KY,3916,3916,301.2,263,391,0.673,48,9,130,13,2021,rushing
25,Keegan,Patterson,Keegan Patterson,/co/longmont/longmont-trojans/athletes/keegan-patterson/football/stats/?careerid=8srp83pqbuqee,8srp83pqbuqee,"QB, SS",Longmont,CO,3915,3915,355.9,264,397,0.665,28,12,110,11,2021,rushing
26,Jax,Leatherwood,Jax Leatherwood,/ca/san-diego/scripps-ranch-falcons/athletes/jax-leatherwood/football/stats/?careerid=vc88ui3lhfdcc,vc88ui3lhfdcc,QB,Scripps Ranch,CA,3915,3915,279.6,243,355,0.685,52,2,142,14,2021,rushing
27,Jake,Wilson,Jake Wilson,/tx/trophy-club/byron-nelson-bobcat/athletes/jake-wilson/football/stats/?careerid=dge0rfjoh6gl5,dge0rfjoh6gl5,QB,Byron Nelson,TX,3884,3884,298.8,265,435,0.609,38,19,101,13,2021,rushing
28,Brandon,Tennison,Brandon Tennison,/tx/gilmer/gilmer-buckeyes/athletes/brandon-tennison/football/stats/?careerid=p98b7834aqoo8,p98b7834aqoo8,QB,Gilmer,TX,3877,3877,242.3,255,381,0.669,36,4,127,16,2021,rushing
29,Daylin,Lee,Daylin Lee,/nc/shelby/shelby-golden-lions/athletes/daylin-lee/football/stats/?careerid=e8q2q4v3s2644,e8q2q4v3s2644,QB,Shelby,NC,3837,3837,239.8,231,354,0.653,50,5,135,16,2021,rushing
30,Byrum,Brown,Byrum Brown,/nc/rolesville/rolesville-rams/athletes/byrum-brown/football/stats/?careerid=sh6kf29mu15k4,sh6kf29mu15k4,QB,Rolesville,NC,3817,3817,254.5,242,354,0.684,43,4,139,15,2021,rushing
31,Mason,Shorb,Mason Shorb,/tx/leander/rouse-raiders/athletes/mason-shorb/football/stats/?careerid=5ndhrqidp20g0,5ndhrqidp20g0,QB,Rouse,TX,3813,3813,293.3,210,296,0.709,49,5,146,13,2021,rushing
32,Bishop,Davenport,Bishop Davenport,/tx/spring/spring-lions/athletes/bishop-davenport/football/stats/?careerid=t128eu7aq7e88,t128eu7aq7e88,QB,Spring,TX,3807,3807,317.2,234,342,0.684,41,10,133,12,2021,rushing
33,Jordyn,Potts,Jordyn Potts,/tn/powell/powell-panthers/athletes/jordyn-potts/football/stats/?careerid=2ogqmgbtf5fi2,2ogqmgbtf5fi2,QB,Powell,TN,3804,3804,253.6,287,427,0.672,37,10,114,15,2021,rushing
34,Dawson,Phillips,Dawson Phillips,/ms/mooreville/mooreville-troopers/athletes/dawson-phillips/football/stats/?careerid=6il4lbqi45oo8,6il4lbqi45oo8,"QB, RB",Mooreville,MS,3798,3798,345.3,259,394,0.657,41,14,117,11,2021,rushing
35,Braden,Bennett,Braden Bennett,/tx/mount-vernon/mount-vernon-tigers/athletes/braden-bennett/football/stats/?careerid=1c2qpjgtvfo99,1c2qpjgtvfo99,QB,Mount Vernon,TX,3798,3798,253.2,212,333,0.637,41,9,131,15,2021,rushing
36,Kaden,Cox,Kaden Cox,/ut/millville/ridgeline-riverhawks/athletes/kaden-cox/football/stats/?careerid=pffp6kaadumi2,pffp6kaadumi2,QB,Ridgeline,UT,3776,3776,290.5,255,356,0.716,55,2,143,13,2021,rushing
37,Trent,Pearman,Trent Pearman,/sc/central/daniel-lions/athletes/trent-pearman/football/stats/?careerid=ai7htvls2ibl5,ai7htvls2ibl5,QB,Daniel,SC,3769,3769,269.2,291,389,0.748,45,5,138,14,2021,rushing
38,Taron,Dickens,Taron Dickens,/fl/miami/northwestern-bulls/athletes/taron-dickens/football/stats/?careerid=8slu7vovk53h1,8slu7vovk53h1,QB,Northwestern,FL,3743,3743,267.4,230,327,0.703,42,8,138,14,2021,rushing
39,Jake,Wright,Jake Wright,/ks/pittsburg/st-marys-colgan-panthers/athletes/jake-wright/football/stats/?careerid=7p2sg3t4rh9vf,7p2sg3t4rh9vf,QB,St. Thomas Catholic,TX,3733,3733,339.4,227,317,0.716,43,1,149,11,2021,rushing
40,Amari,Odom,Amari Odom,/nc/cary/panther-creek-catamounts/athletes/amari-odom/football/stats/?careerid=fqbvujejon2p9,fqbvujejon2p9,QB,Panther Creek,NC,3729,3729,266.4,251,453,0.554,40,13,100,14,2021,rushing
41,Jacob,Porteous,Jacob Porteous,/ca/petaluma/casa-grande-gauchos/athletes/jacob-porteous/football/stats/?careerid=rk9e621f9mbk4,rk9e621f9mbk4,QB,Casa Grande,CA,3700,3700,336.4,253,421,0.601,46,9,116,11,2021,rushing
42,Drew,Settle,Drew Settle,/sc/inman/chapman-panthers/athletes/drew-settle/football/stats/?careerid=coq35avc9utrb,coq35avc9utrb,"QB, SS",Chapman,SC,3689,3689,335.4,249,380,0.655,38,9,121,11,2021,rushing
43,Kaden,Irving,Kaden Irving,/ms/gautier/gautier-gators/athletes/kaden-irving/football/stats/?careerid=33atcthqa35qa,33atcthqa35qa,QB,Gautier,MS,3687,3687,335.2,250,420,0.595,39,10,109,11,2021,rushing
44,Todd,Drummond,Todd Drummond,/ok/pawhuska/pawhuska-huskies/athletes/todd-drummond/football/stats/?careerid=0bbhg204t6t99,0bbhg204t6t99,"QB, DE",Pawhuska,OK,3685,3685,283.5,245,357,0.686,50,9,131,13,2021,rushing
45,Tyler,Stott,Tyler Stott,/nv/las-vegas/desert-oasis-diamondbacks/athletes/tyler-stott/football/stats/?careerid=f49aijfhsm4sc,f49aijfhsm4sc,QB,Desert Oasis,NV,3671,3671,367.1,238,404,0.589,39,12,109,10,2021,rushing
46,Dom,Montiel,Dom Montiel,/or/coos-bay/marshfield-pirates/athletes/dom-montiel/football/stats/?careerid=t6je75n5q7b00,t6je75n5q7b00,QB,Marshfield,OR,3666,3666,282.0,238,348,0.684,50,8,133,13,2021,rushing
47,Dru,Deshields,Dru Deshields,/oh/beloit/west-branch-warriors/athletes/dru-deshields/football/stats/?careerid=sslgc8iq9vovf,sslgc8iq9vovf,"QB, WR",West Branch,OH,3661,3661,261.5,259,383,0.676,40,7,125,14,2021,rushing
48,Xavier,Washington,Xavier Washington,/ca/rancho-cucamonga/rancho-cucamonga-cougars/athletes/xavier-washington/football/stats/?careerid=f1oeq7ve49sff,f1oeq7ve49sff,QB,Rancho Cucamonga,CA,3637,3637,303.1,262,410,0.639,34,10,110,12,2021,rushing
49,Desmond,Woodson,Desmond Woodson,/tx/marlin/marlin-bulldogs/athletes/desmond-woodson/football/stats/?careerid=ngulrt6u27jn7,ngulrt6u27jn7,QB,Marlin,TX,3636,3636,259.7,177,260,0.681,38,7,139,14,2021,rushing
50,Kamron,Evans,Kamron Evans,/la/shreveport/huntington-raiders/athletes/kamron-evans/football/stats/?careerid=64fdq51mlclo8,64fdq51mlclo8,QB,Huntington,LA,3630,3630,302.5,223,363,0.614,44,7,126,12,2021,rushing
51,Cergio,Perez,Cergio Perez,/tx/garland/garland-owls/athletes/cergio-perez/football/stats/?careerid=5frnfipe4hevf,5frnfipe4hevf,QB,Garland,TX,3625,3625,329.5,236,335,0.704,57,9,134,11,2021,rushing
52,Jeff,Hoenstine,Jeff Hoenstine,/pa/martinsburg/central-dragons/athletes/jeff-hoenstine/football/stats/?careerid=0rj2357vltb11,0rj2357vltb11,"QB, FS",Central,PA,3621,3621,241.4,214,310,0.69,57,4,142,15,2021,rushing
