Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Donnel Pumphrey,donnel-pumphrey-1,/cfb/players/donnel-pumphrey-1.html,San Diego State,MWC,14,349,2133,6.1,17,152.4,27,231,8.6,0,16.5,376,2364,6.3,17,H-10,2016
D'Onta Foreman,donta-foreman-1,/cfb/players/donta-foreman-1.html,Texas,Big 12,11,323,2028,6.3,15,184.4,7,75,10.7,0,6.8,330,2103,6.4,15,"H-8,AA",2016
Brian Hill,brian-hill-4,/cfb/players/brian-hill-4.html,Wyoming,MWC,14,349,1860,5.3,22,132.9,8,67,8.4,0,4.8,357,1927,5.4,22,,2016
Aaron Jones,aaron-jones-6,/cfb/players/aaron-jones-6.html,UTEP,CUSA,12,229,1773,7.7,17,147.8,28,233,8.3,3,19.4,257,2006,7.8,20,,2016
Dalvin Cook,dalvin-cook-1,/cfb/players/dalvin-cook-1.html,Florida State,ACC,13,288,1765,6.1,19,135.8,33,488,14.8,1,37.5,321,2253,7.0,20,"H-10,AA",2016
Jeremy McNichols,jeremy-mcnichols-1,/cfb/players/jeremy-mcnichols-1.html,Boise State,MWC,13,314,1709,5.4,23,131.5,37,474,12.8,4,36.5,351,2183,6.2,27,,2016
James Flanders,james-flanders-1,/cfb/players/james-flanders-1.html,Tulsa,American,13,258,1629,6.3,18,125.3,3,17,5.7,0,1.3,261,1646,6.3,18,,2016
Anthony Wales,anthony-wales-1,/cfb/players/anthony-wales-1.html,Western Kentucky,CUSA,13,237,1621,6.8,27,124.7,30,323,10.8,2,24.8,267,1944,7.3,29,,2016
Christian McCaffrey,christian-mccaffrey-1,/cfb/players/christian-mccaffrey-1.html,Stanford,Pac-12,11,253,1603,6.3,13,145.7,37,310,8.4,3,28.2,290,1913,6.6,16,H-9,2016
Lamar Jackson,lamar-jackson-1,/cfb/players/lamar-jackson-1.html,Louisville,ACC,13,260,1571,6.0,21,120.8,0,0,,0,0.0,260,1571,6.0,21,"H-1,Maxwell,AA,Camp",2016
I'Tavius Mathers,itavius-mathers-1,/cfb/players/itavius-mathers-1.html,Middle Tennessee State,CUSA,13,232,1561,6.7,17,120.1,66,633,9.6,3,48.7,298,2194,7.4,20,,2016
Quinton Flowers,quinton-flowers-1,/cfb/players/quinton-flowers-1.html,South Florida,American,13,198,1530,7.7,18,117.7,1,-3,-3.0,0,-0.2,199,1527,7.7,18,,2016
Justin Jackson,justin-jackson-5,/cfb/players/justin-jackson-5.html,Northwestern,Big Ten,13,298,1524,5.1,15,117.2,35,219,6.3,0,16.8,333,1743,5.2,15,,2016
Saquon Barkley,saquon-barkley-1,/cfb/players/saquon-barkley-1.html,Penn State,Big Ten,14,272,1496,5.5,18,106.9,28,402,14.4,4,28.7,300,1898,6.3,22,,2016
Kareem Hunt,kareem-hunt-1,/cfb/players/kareem-hunt-1.html,Toledo,MAC,13,262,1475,5.6,10,113.5,41,403,9.8,1,31.0,303,1878,6.2,11,,2016
Ito Smith,ito-smith-1,/cfb/players/ito-smith-1.html,Southern Mississippi,CUSA,13,265,1459,5.5,17,112.2,43,459,10.7,2,35.3,308,1918,6.2,19,,2016
D'Angelo Brewer,dangelo-brewer-1,/cfb/players/dangelo-brewer-1.html,Tulsa,American,12,264,1435,5.4,7,119.6,5,19,3.8,1,1.6,269,1454,5.4,8,,2016
Joe Williams,joe-williams-7,/cfb/players/joe-williams-7.html,Utah,Pac-12,9,210,1407,6.7,10,156.3,9,107,11.9,0,11.9,219,1514,6.9,10,,2016
Jalin Moore,jalin-moore-1,/cfb/players/jalin-moore-1.html,Appalachian State,Sun Belt,13,237,1402,5.9,10,107.8,5,32,6.4,0,2.5,242,1434,5.9,10,,2016
Derrius Guice,derrius-guice-1,/cfb/players/derrius-guice-1.html,LSU,SEC,12,183,1387,7.6,15,115.6,9,106,11.8,1,8.8,192,1493,7.8,16,,2016
Corey Clement,corey-clement-1,/cfb/players/corey-clement-1.html,Wisconsin,Big Ten,13,314,1375,4.4,15,105.8,12,132,11.0,0,10.2,326,1507,4.6,15,,2016
Jamaal Williams,jamaal-williams-1,/cfb/players/jamaal-williams-1.html,BYU,Ind,10,234,1375,5.9,12,137.5,7,80,11.4,0,8.0,241,1455,6.0,12,,2016
Nick Fitzgerald,nick-fitzgerald-2,/cfb/players/nick-fitzgerald-2.html,Mississippi State,SEC,13,195,1375,7.1,16,105.8,1,9,9.0,0,0.7,196,1384,7.1,16,,2016
Myles Gaskin,myles-gaskin-1,/cfb/players/myles-gaskin-1.html,Washington,Pac-12,14,237,1373,5.8,10,98.1,19,137,7.2,1,9.8,256,1510,5.9,11,,2016
Rawleigh Williams III,rawleigh-williams-iii-1,/cfb/players/rawleigh-williams-iii-1.html,Arkansas,SEC,13,245,1360,5.6,12,104.6,15,220,14.7,1,16.9,260,1580,6.1,13,,2016
Jarvion Franklin,jarvion-franklin-1,/cfb/players/jarvion-franklin-1.html,Western Michigan,MAC,14,248,1353,5.5,12,96.6,25,288,11.5,2,20.6,273,1641,6.0,14,,2016
James Butler,james-butler-4,/cfb/players/james-butler-4.html,Nevada,MWC,12,260,1336,5.1,12,111.3,37,381,10.3,3,31.8,297,1717,5.8,15,,2016
James Gilbert,james-gilbert-2,/cfb/players/james-gilbert-2.html,Ball State,MAC,12,251,1332,5.3,12,111.0,1,18,18.0,0,1.5,252,1350,5.4,12,,2016
Jordan Chunn,jordan-chunn-1,/cfb/players/jordan-chunn-1.html,Troy,Sun Belt,13,279,1288,4.6,16,99.1,30,228,7.6,0,17.5,309,1516,4.9,16,,2016
Ralph Webb,ralph-webb-1,/cfb/players/ralph-webb-1.html,Vanderbilt,SEC,13,250,1283,5.1,13,98.7,21,166,7.9,0,12.8,271,1449,5.3,13,,2016
Joe Mixon,joe-mixon-1,/cfb/players/joe-mixon-1.html,Oklahoma,Big 12,12,187,1274,6.8,10,106.2,37,538,14.5,5,44.8,224,1812,8.1,15,,2016
Teriyon Gipson,teriyon-gipson-1,/cfb/players/teriyon-gipson-1.html,New Mexico,MWC,11,145,1269,8.8,13,115.4,9,80,8.9,1,7.3,154,1349,8.8,14,,2016
Ray Lawry,ray-lawry-1,/cfb/players/ray-lawry-1.html,Old Dominion,CUSA,12,200,1255,6.3,11,104.6,11,134,12.2,1,11.2,211,1389,6.6,12,,2016
Phillip Lindsay,phillip-lindsay-1,/cfb/players/phillip-lindsay-1.html,Colorado,Pac-12,14,244,1252,5.1,16,89.4,53,493,9.3,1,35.2,297,1745,5.9,17,,2016
Kamryn Pettway,kamryn-pettway-1,/cfb/players/kamryn-pettway-1.html,Auburn,SEC,10,209,1224,5.9,7,122.4,2,14,7.0,0,1.4,211,1238,5.9,7,,2016
Will Worth,will-worth-1,/cfb/players/will-worth-1.html,Navy,American,12,264,1198,4.5,25,99.8,0,0,,0,0.0,264,1198,4.5,25,,2016
Marlon Mack,marlon-mack-1,/cfb/players/marlon-mack-1.html,South Florida,American,12,174,1187,6.8,15,98.9,28,227,8.1,0,18.9,202,1414,7.0,15,,2016
Justin Crawford,justin-crawford-1,/cfb/players/justin-crawford-1.html,West Virginia,Big 12,13,163,1184,7.3,4,91.1,14,68,4.9,1,5.2,177,1252,7.1,5,,2016
