id,team,name,firstName,lastName,weight,height,jersey,position,hometown,teamColor,teamColorSecondary,season
535754,Alabama,Alec Morris,Alec,Morris,,75.0,11.0,QB,Allen,#9e1632,#ffffff,2015
536395,Western Michigan,Alec Moulton,Alec,Moulton,,73.0,81.0,WR,Midland,#532e1f,#8b7f79,2015
3917283,Mississippi State,Alec Murphy,Alec,Murphy,230.0,72.0,26.0,RB,Nixa,#5d1725,#c1c6c8,2015
-1015367,Kansas State,Alec Ruth,Alec,Ruth,300.0,79.0,73.0,OL,Highlands Ranch,#3c0969,#e2e3e4,2015
-1029432,Pittsburgh,Alec Schuster,Alec,Schuster,195.0,73.0,49.0,PK,Matthews,#003263,#231f20,2015
3916078,West Virginia,Alec Shriner,Alec,Shriner,305.0,76.0,67.0,OL,Oviedo,#002855,#eaaa00,2015
3119221,Miami,Alejandro Cardenas,Alejandro,Cardenas,185.0,70.0,92.0,PK,Miami Beach,#005030,#f47321,2015
-1033940,Temple,Alex Carling,Alex,Carling,225.0,77.0,48.0,TE,Scranton,#A80532,#a7a9ac,2015
-1016537,LSU,Alex Cheramie,Alex,Cheramie,280.0,72.0,61.0,OL,Cypress,#461d7c,#fdd023,2015
512059,Cincinnati,Alex Chisum,Alex,Chisum,,75.0,80.0,WR,Fayetteville,#E00122,#000000,2015
547203,Arkansas,Alex Collins,Alex,Collins,,71.0,3.0,RB,Fort Lauderdale,#a41f35,#ffffff,2015
-1013228,Houston,Alex Cooper,Alex,Cooper,305.0,76.0,60.0,OL,Bellaire,#c92a39,#ffffff,2015
-1006552,Central Michigan,Alex Coty,Alex,Coty,310.0,76.0,65.0,OL,South Bend,#6a0032,#ffc82e,2015
4035731,Purdue,Alex Criddle,Alex,Criddle,305.0,75.0,66.0,OL,Broken Arrow,#000000,#ceb888,2015
-1022396,Missouri,Alex Demczak,Alex,Demczak,200.0,72.0,17.0,QB,Springfield,#f1b82d,#000000,2015
3129412,Charlotte,Alex Duncan,Alex,Duncan,181.0,69.0,12.0,DB,Chapel Hill,#046A38,#B9975B,2015
534809,Wisconsin,Alex Erickson,Alex,Erickson,,72.0,30.0,WR,Darlington,#c4012f,#ffffff,2015
4242404,California,Alex Funches,Alex,Funches,225.0,74.0,36.0,OLB,Denton,#031522,#ffc423,2015
-1030330,Rutgers,Alex Hutchings,Alex,Hutchings,200.0,76.0,68.0,LS,Webster,#d21034,#ffffff,2015
-1018352,Marshall,Alex Locklear,Alex,Locklear,330.0,77.0,77.0,OL,Huntington,#00ae42,#be854c,2015
3128843,Florida International,Alex McGough,Alex,McGough,218.0,75.0,12.0,QB,Tampa,#001538,#c5960c,2015
3138707,Charleston Southern,Adam Allen,Adam,Allen,210.0,70.0,17.0,RB,Ewa Beach,#2e3192,#ded090,2015
-1022819,Navy,Adam Amosa,Adam,Amosa,260.0,74.0,51.0,OT,Ewa Beach,#00225b,#b5a67c,2015
-1019706,Miami,Adam Arnaout,Adam,Arnaout,275.0,72.0,61.0,OL,Westlake Village,#005030,#f47321,2015
-1026139,Northwestern,Adam DePietro,Adam,DePietro,295.0,77.0,73.0,OL,Lancaster,#582c83,#ffffff,2015
-1029089,Penn State,Adam Geiger,Adam,Geiger,191.0,69.0,31.0,S,Dillsburg,#041E42,#FFFFFF,2015
531131,Georgia Tech,Adam Gotsis,Adam,Gotsis,,77.0,96.0,DL,Abbotsford,#003057,#b3a369,2015
3053043,Maryland,Adam Greene,Adam,Greene,193.0,71.0,3.0,PK,Arnold,#D5002B,#ffcd00,2015
535747,Alabama,Adam Griffith,Adam,Griffith,,70.0,99.0,PK,Calhoun,#9e1632,#ffffff,2015
